ID	Point	Hemisphere	Tract	FA	SD
subject1	1	L	CST	0.4375	0.1185
subject1	2	L	CST	0.4809	0.1118
subject1	3	L	CST	0.5061	0.1192
subject1	4	L	CST	0.5418	0.1080
subject1	5	L	CST	0.5502	0.1132
subject1	6	L	CST	0.5739	0.1217
subject1	7	L	CST	0.5776	0.1265
subject1	8	L	CST	0.6134	0.1101
subject1	9	L	CST	0.6169	0.0992
subject1	10	L	CST	0.6339	0.0966
subject1	11	L	CST	0.6224	0.0976
subject1	12	L	CST	0.6291	0.1006
subject1	13	L	CST	0.6218	0.1064
subject1	14	L	CST	0.6294	0.0974
subject1	15	L	CST	0.6255	0.1087
subject1	16	L	CST	0.6252	0.1168
subject1	17	L	CST	0.6248	0.1156
subject1	18	L	CST	0.6288	0.1151
subject1	19	L	CST	0.6272	0.1055
subject1	20	L	CST	0.6368	0.0970
subject1	21	L	CST	0.6471	0.0883
subject1	22	L	CST	0.6568	0.1004
subject1	23	L	CST	0.6700	0.0980
subject1	24	L	CST	0.6844	0.0936
subject1	25	L	CST	0.6914	0.1021
subject1	26	L	CST	0.6969	0.0950
subject1	27	L	CST	0.7007	0.1015
subject1	28	L	CST	0.7189	0.0893
subject1	29	L	CST	0.7134	0.0860
subject1	30	L	CST	0.7158	0.0855
subject1	31	L	CST	0.7202	0.0960
subject1	32	L	CST	0.7205	0.0991
subject1	33	L	CST	0.7226	0.0923
subject1	34	L	CST	0.7187	0.0896
subject1	35	L	CST	0.7150	0.0766
subject1	36	L	CST	0.7246	0.0790
subject1	37	L	CST	0.7289	0.0826
subject1	38	L	CST	0.7198	0.0830
subject1	39	L	CST	0.6978	0.0786
subject1	40	L	CST	0.6791	0.0811
subject1	41	L	CST	0.6745	0.0846
subject1	42	L	CST	0.6765	0.0868
subject1	43	L	CST	0.6814	0.0866
subject1	44	L	CST	0.6768	0.0840
subject1	45	L	CST	0.6709	0.0772
subject1	46	L	CST	0.6680	0.0736
subject1	47	L	CST	0.6621	0.0649
subject1	48	L	CST	0.6562	0.0649
subject1	49	L	CST	0.6424	0.0660
subject1	50	L	CST	0.6297	0.0677
subject1	51	L	CST	0.6254	0.0718
subject1	52	L	CST	0.6169	0.0731
subject1	53	L	CST	0.6047	0.0690
subject1	54	L	CST	0.5906	0.0630
subject1	55	L	CST	0.5806	0.0601
subject1	56	L	CST	0.5737	0.0620
subject1	57	L	CST	0.5698	0.0681
subject1	58	L	CST	0.5633	0.0730
subject1	59	L	CST	0.5506	0.0739
subject1	60	L	CST	0.5342	0.0800
subject1	61	L	CST	0.5187	0.0767
subject1	62	L	CST	0.5040	0.0704
subject1	63	L	CST	0.4881	0.0629
subject1	64	L	CST	0.4798	0.0617
subject1	65	L	CST	0.4756	0.0622
subject1	66	L	CST	0.4721	0.0618
subject1	67	L	CST	0.4716	0.0688
subject1	68	L	CST	0.4654	0.0812
subject1	69	L	CST	0.4699	0.0893
subject1	70	L	CST	0.4756	0.0899
subject1	71	L	CST	0.4858	0.0998
subject1	72	L	CST	0.5017	0.1075
subject1	73	L	CST	0.5140	0.1053
subject1	74	L	CST	0.5312	0.1030
subject1	75	L	CST	0.5474	0.0945
subject1	76	L	CST	0.5640	0.0874
subject1	77	L	CST	0.5888	0.0825
subject1	78	L	CST	0.6009	0.0771
subject1	79	L	CST	0.6138	0.0831
subject1	80	L	CST	0.6243	0.0857
subject1	81	L	CST	0.6267	0.0825
subject1	82	L	CST	0.6275	0.0862
subject1	83	L	CST	0.6084	0.0834
subject1	84	L	CST	0.5973	0.0864
subject1	85	L	CST	0.5855	0.0922
subject1	86	L	CST	0.5681	0.1016
subject1	87	L	CST	0.5670	0.1154
subject1	88	L	CST	0.5692	0.1253
subject1	89	L	CST	0.5652	0.1307
subject1	90	L	CST	0.5542	0.1251
subject1	91	L	CST	0.5395	0.1305
subject1	92	L	CST	0.5224	0.1547
subject1	93	L	CST	0.4957	0.1566
subject1	94	L	CST	0.4484	0.1603
subject1	95	L	CST	0.3982	0.1684
subject1	96	L	CST	0.3437	0.1683
subject1	97	L	CST	0.2360	0.1541
